PangoRecombinant,PangoNID,BranchLength,ClosestRivetNID,DistanceToPango,JaccardIndexDescSets,PangoNumDesc,RivetNumDesc,MostSimilarRivetNode,MostSimilarRivetNodeJI
XY,node_2249982,4,node_2249982,0,1.0,140,140,node_2249982,1.0
XU,node_2249698,1,node_2249794,6,6.00744e-67,11,9,node_912310,1.75723e-06
XT,node_917405,2,node_917446,3,6.00744e-67,16,27,node_912310,2.55597e-06
XR,node_2252109,1,node_2252205,8,6.00744e-67,183,18,node_912310,2.92339e-05
XQ,node_2252083,1,node_2252205,6,6.00744e-67,162,18,node_912310,2.58792e-05
XL,node_2249678,1,node_2249794,8,6.00744e-67,133,9,node_912310,2.12465e-05
XK,node_2250812,1,node_2250796,6,6.00744e-67,23,6,node_912310,3.6742e-06
XG,node_2249710,1,node_2249794,5,6.00744e-67,516,9,node_912310,8.243e-05
XZ,node_916737,1,node_916761,1,0.0266667,225,6,node_916761,0.0266667
XF,node_880046,4,node_880037,3,6.38878e-67,42,18,node_526974,2.17331e-05
XE,node_2250109,1,node_2251130,7,6.00744e-67,3172,6,node_912310,0.000506721
XS,node_633710,4,node_633710,0,1.0,60,60,node_633710,1.0
XDK,node_2209451,3,node_2209451,0,1.0,32,32,node_2209451,1.0
XDH,node_1441952,4,node_1441951,1,0.659574,31,47,node_1441951,0.659574
XDG,node_1117678,5,node_1117674,1,0.674419,29,43,node_1117674,0.674419
XW,node_2251889,1,node_2252205,10,6.00744e-67,244,18,node_912310,3.89785e-05
XDE,node_1034445,3,node_1034444,1,0.967742,30,31,node_1034444,0.967742
XCW,node_1315038,1,node_1315067,3,0.0,119,6,node_1033609,0.000119464
XCR,node_1214265,5,node_1214265,0,1.0,251,251,node_1214265,1.0
XCQ,node_1315099,3,node_1327599,6,0.0,107,34,node_1033609,0.000107417
XCP,node_1205479,1,node_1205478,1,0.994413,178,179,node_1205478,0.994413
XCN,node_1441969,12,node_1441969,0,1.0,12,12,node_1441969,1.0
XH,node_2249845,3,node_2249845,0,1.0,189,189,node_2249845,1.0
XCL,node_1214122,1,node_1214048,12,0.0,417,40,node_1033609,0.000418626
XBC,node_908967,1,node_908965,2,0.999726,7303,7305,node_908965,0.999726
XBA,node_912101,16,node_911454,1,0.00200702,4,1993,node_911454,0.00200702
XAZ,node_1762380,2,node_1583078,4,6.00744e-67,3061,15,node_912310,0.000488989
XCE,node_1037771,1,node_1041583,6,0.0,94,11,node_1033609,9.43666e-05
XAR,node_2251799,1,node_2252205,7,6.00744e-67,52,18,node_912310,8.3069e-06
XAY,node_911455,12,node_911455,0,1.0,1989,1989,node_911455,1.0
XAW,node_633737,3,node_633736,1,0.979167,47,48,node_633736,0.979167
XAV,node_2082357,1,node_2082909,6,6.00744e-67,109,8,node_912310,1.74125e-05
XDC,node_1137590,1,node_1125292,8,0.0,47,9,node_1033609,4.71833e-05
XA,node_249010,2,node_249009,1,0.977778,44,45,node_249009,0.977778
XCC,node_1193532,1,node_1193569,3,0.05,120,6,node_1193569,0.05
XB,node_12372,6,node_12372,0,1.0,3588,3588,node_12372,1.0
XAQ,node_2250951,3,node_2250994,3,6.00744e-67,79,7,node_912310,1.26201e-05
XAD,node_916903,1,node_916880,2,6.00744e-67,160,53,node_912310,2.55597e-05
XAT,node_917006,2,node_916988,6,6.00744e-67,101,6,node_912310,1.61346e-05
XAJ,node_1524964,1,node_1524990,4,6.00744e-67,99,15,node_912310,1.58151e-05
XV,node_2250631,1,node_2251107,3,6.00744e-67,43,14,node_912310,6.86917e-06
XBN,node_1310055,1,node_1310274,7,0.0,55,76,node_1033609,5.52145e-05
XCK,node_1286776,4,node_1286775,1,0.983051,58,59,node_1286775,0.983051
XAN,node_2113736,1,node_2113814,4,6.00744e-67,249,8,node_912310,3.97773e-05
XD,node_633755,1,node_633754,1,0.991525,117,118,node_633754,0.991525
XCV,node_1150565,3,node_1150563,2,0.983498,298,303,node_1150563,0.983498
XBB,node_1033627,1,node_1310274,1,7.63039e-05,996017,76,node_1033609,0.999902
XBF,node_1430774,1,node_1432850,2,0.00045861,13083,6,node_912310,0.00208998
XP,node_736394,1,node_719535,6,6.38878e-67,82,7,node_526974,4.24312e-05
XCB,node_1849159,7,node_1849159,0,1.0,67,67,node_1849159,1.0
XCD,node_1286798,6,node_1286772,2,0.0,30,64,node_1033609,3.0117e-05
XAP,node_917500,1,node_917446,2,6.00744e-67,83,27,node_912310,1.32591e-05
XAA,node_2251195,2,node_2251328,4,6.00744e-67,109,6,node_912310,1.74125e-05
XCZ,node_1182266,1,node_1182264,2,0.909091,100,110,node_1182264,0.909091
XAC,node_917642,1,node_917763,5,6.00744e-67,474,6,node_912310,7.57206e-05
XAB,node_2251371,1,node_2249794,5,6.00744e-67,204,9,node_912310,3.25886e-05
XAU,node_2251696,1,node_2252205,9,6.00744e-67,124,18,node_912310,1.98088e-05
XCM,node_1190642,4,node_1190642,0,1.0,180,180,node_1190642,1.0
XBE,node_2064210,1,node_2060799,5,6.00744e-67,491,37,node_912310,7.84363e-05
XBL,node_1304952,1,node_1035922,8,0.0,1291,20,node_1305048,0.00619675
XAM,node_2251431,1,node_2249794,7,6.00744e-67,569,9,node_912310,9.08966e-05
XAH,node_917460,1,node_917446,2,6.00744e-67,179,27,node_912310,2.85949e-05
XBJ,node_1365292,1,node_1365291,1,0.997602,416,417,node_1365291,0.997602
XN,node_2251955,1,node_2252205,6,6.00744e-67,358,18,node_912310,5.71898e-05
XDF,node_1150650,1,node_1124942,5,0.0,67,7,node_1033609,6.72613e-05
XAG,node_2251551,2,node_2249794,5,6.00744e-67,461,9,node_912310,7.36438e-05
XDJ,node_1041999,2,node_1041998,1,0.869565,20,23,node_1041998,0.869565
XBT,node_2065986,4,node_2065986,0,1.0,465,465,node_2065986,1.0
XCA,node_1378081,8,node_1378081,0,1.0,85,85,node_1378081,1.0
XAL,node_2251004,1,node_2250994,3,6.00744e-67,201,7,node_912310,3.21094e-05
XBV,node_1189850,1,node_1189840,3,0.362319,25,69,node_1189840,0.362319
XAK,node_1011461,4,node_2227240,8,6.00744e-67,249,59,node_912310,3.97773e-05
XBD,node_1377836,2,node_1377949,3,6.00744e-67,388,9,node_912310,6.19822e-05
XDA,node_1079632,1,node_1079630,2,0.995386,863,867,node_1079630,0.995386
XBG,node_2065665,1,node_2065664,1,0.995074,202,203,node_2065664,0.995074
XBK,node_1434498,1,node_1434657,3,0.0117779,1783,21,node_1434657,0.0117779
XCT,node_1460853,1,node_1460923,1,0.024911,281,7,node_1460849,0.965636
XBM,node_1905176,1,node_1795474,11,6.00744e-67,370,5,node_912310,5.91068e-05
XBP,node_1377995,2,node_1377982,2,0.277487,106,382,node_1377982,0.277487
XM,node_2250655,1,node_2250994,1,0.00488145,1434,7,node_2250929,0.0132497
XJ,node_2250580,1,node_2251130,4,6.00744e-67,262,6,node_912310,4.1854e-05
XBR,node_1378040,1,node_1378038,2,0.972973,72,74,node_1378038,0.972973
XAF,node_2249879,1,node_2249845,5,6.00744e-67,307,189,node_912310,4.90426e-05
XBY,node_1380872,1,node_1380871,1,0.944444,17,18,node_1380871,0.944444
XBQ,node_1435110,1,node_1434657,5,6.00744e-67,203,21,node_912310,3.24289e-05
XBH,node_1441485,2,node_1440809,3,6.00744e-67,98,37,node_912310,1.56553e-05
XBU,node_1407709,2,node_1377104,9,6.00744e-67,108,738,node_912310,1.72528e-05
XDD,node_2209463,2,node_2209462,1,0.995516,222,223,node_2209462,0.995516
XCS,node_1214254,4,node_1214254,0,1.0,38,38,node_1214254,1.0
XBZ,node_1649415,2,node_1713884,6,6.00744e-67,377,318,node_912310,6.0225e-05
XBS,node_1378110,4,node_1377982,1,0.123037,47,382,node_1377982,0.123037
XAE,node_917594,3,node_917594,0,1.0,136,136,node_917594,1.0
XBW,node_1286727,3,node_1286765,4,0.0,83,13,node_1033609,8.33237e-05
XDB,node_1079535,1,node_1079629,2,0.0,236,877,node_1033609,0.00023692
XC,node_3271745,2,node_3271737,1,0.727273,24,33,node_3271737,0.727273
XCF,node_1303012,1,node_1303097,2,0.0173913,345,6,node_1303097,0.0173913
XCG,node_1193486,1,node_1035922,8,0.0,81,20,node_1033609,8.13159e-05
XCH,node_1214379,6,node_1214379,0,1.0,1949,1949,node_1214379,1.0
XCY,node_1182302,1,node_1182262,3,0.258065,40,155,node_1182262,0.258065
XCU,node_911435,39,node_911435,0,1.0,38,38,node_911435,1.0
XAS,node_1549038,1,node_2203741,2,6.00744e-67,537,5,node_912310,8.57847e-05
XCJ,node_1318461,4,node_1318461,0,1.0,67,67,node_1318461,1.0
